company_name,homepage_url,recruits_url,page_type,post_type,hiring,region
안랩,https://www.ahnlab.com,https://ahnlab.recruiter.co.kr/career/home,listing,text,true,텍스트 깔끔. 안랩을 털다니 용감.
지란지교소프트,https://www.jiran.com,none,,,,
지란지교시큐리티,https://www.jiransecurity.com,https://www.jiransecurity.com/jiransecurity/recruitment,external,external_link,,
시큐아이,https://www.secui.com,https://secui-recruit.recruiter.co.kr/app/jobnotice/list,listing,text,true,
SK쉴더스,,,,,,
한싹,,,,,,
넷앤드,https://www.netand.co.kr,https://www.netand.co.kr/home/recruit.php,one_page,text,false,
세큐어,,,,,,
에이쓰리시큐리티,,,,,,
노루페인트IT,https://www.noroopaint.com,https://www.noroopaint.com/kor/company/recruit.asp,listing,image,false,
더화이트커뮤니케이션,,,,,,
이스트시큐리티,https://www.estsecurity.com,https://estfamily.career.greetinghr.com/ko/home#28b0beb1-8cd9-406d-a3a6-fcaf94e67e87,listing,text,true,
알티베이스,https://www.altibase.com,https://www.altibase.com/kr/recruitment/job.php,one_page,text,true,
비트나인,https://www.bitnine.net,none,,,,
티맥스소프트,https://www.tmaxsoft.com,https://tmaxsoft.recruiter.co.kr/app/jobnotice/list,listing,image,,
티맥스티베로,https://www.tmax.co.kr,none,,,,
알서포트,https://www.rsupport.com,https://www.rsupport.com/ko-kr/career/recruit/,listing,text,true,
엠투소프트,https://www.m2soft.co.kr,https://www.m2soft.co.kr/bbs/content.php?co_id=0505recruit,one_page,text,true,젤 어려운 텍스트 표
브리지텍,https://www.bridgetec.co.kr,https://www.bridgetec.co.kr/hr/hrvolunteer/index.jsp,listing,,false,
유니포인트,https://www.unipoint.co.kr,https://www.unipoint.co.kr/recruit,listing,text,true,젤 어려운 텍스트 표
아이티아이즈,,,,,,
마이다스아이티,https://www.midasit.com,https://midas.recruiter.co.kr/career/jobs,listing,image,true,
다날,https://www.danalpay.com,none,,,,
KG이니시스,https://www.inicis.com,none,,,,
세틀뱅크,https://www.settlebank.co.kr,https://www.hectocareers.co.kr/ko/join,listing,text,true,분석하기 좋아보
토스페이먼츠,https://www.tosspayments.com,https://toss.im/career/jobs,listing,text,true,분석하기 좋아보
카카오페이,https://www.kakaopay.com,https://kakaopay.career.greetinghr.com/ko/main,listing,text,true,
두나무,https://www.dunamu.com,https://www.dunamu.com/careers/jobs?category=engineering,listing,text,true,분석하기 좋아보이면서 에러나고 오인식하기도 좋아보임
업비트싱가포르,,,,,,
빗썸코리아,https://www.bithumbcorp.com,https://www.bithumbcorp.com/ko/recruit/recruit.php,listing,text,true,분석하기 좋아보이면서 에러나고 오인식하기도 좋아보임
코인원,https://coinonecorp.com,https://recruit.coinonecorp.com/,listing,text,true,분석하기 좋아보
코빗,https://www.korbit.co.kr,https://korbit.career.greetinghr.com/ko/home,listing,text,true,
직방,https://www.zigbang.com,https://career.zigbang.com/open,listing,text,true,
다방,https://www.dabangapp.com,none,,,,
야놀자,https://www.yanolja.com,https://careers.yanolja.co/ko/home,listing,text,true,
여기어때컴퍼니,https://www.gccompany.co.kr,https://gccompany.career.greetinghr.com/ko/apply,listing,text,true,
우아한형제들,https://www.woowahan.com,https://career.woowahan.com/?jobCodes=&employmentTypeCodes=&serviceSectionCodes=&careerPeriod=&keyword=&category=jobGroupCodes%3ABA005014#recruit-list,listing,text,true,
배달의민족,https://www.baemin.com,none,,,,
마켓컬리,https://www.kurly.com,none,,,,
무신사,https://www.musinsa.com,https://www.musinsacareers.com/ko/home#f9221335-0b3f-4011-b3ac-1ed1a0e34984,listing,text,true,
29CM,https://www.29cm.co.kr,https://www.musinsacareers.com/ko/home#f9221335-0b3f-4011-b3ac-1ed1a0e34984,listing,text,true,무신사랑 같은데네 다른회사인줄 알고 다른 브랜드 같은회사 찾으면 어찌 처리하지?
에이블리코퍼레이션,https://www.a-bly.com,none,,,,
브랜디,https://www.brandi.co.kr,https://www.brandi.co.kr/recruit/,,,,
오늘의집(버킷플레이스),https://www.ohou.se,https://www.bucketplace.com/careers/,listing,text,true,정형화 된 포멧이 있구나
당근마켓,https://www.daangn.com,https://about.daangn.com/jobs/,one_page,text,true,
번개장터,https://www.bunjang.co.kr,none,,,,
리디,https://www.ridicorp.com,,,,,
왓챠,https://watcha.com,,,,,
요기요,https://www.yogiyo.co.kr,,,,,
쏘카,https://www.socar.kr,,,,,
VCNC(타다),https://tadatada.com,,,,,
티맵모빌리티,https://www.tmapmobility.com,,,,,
누비랩,https://www.nuvilab.com,,,,,
스푼라디오,https://www.spooncast.net,,,,,
센드버드코리아,https://www.sendbird.com,,,,,
버즈빌,https://www.buzzvil.com,,,,,
센드애니웨어,https://www.send-anywhere.com,,,,,
아이디어스(백패커),https://www.idus.com,,,,,
클래스101,https://www.class101.net,,,,,
탈잉,https://www.taling.me,,,,,
프립,https://www.frip.co.kr,,,,,
레진엔터테인먼트,https://www.lezhin.com,,,,,
채널코퍼레이션(채널톡),https://www.channel.io,,,,,
스윗코리아,https://swit.io/ko-kr,,,,,
넥스트유니콘,https://www.nextunicorn.kr,,,,,
잡플래닛,https://www.jobplanet.co.kr,,,,,
원티드랩,https://www.wantedlab.com,,,,,
로켓펀치,https://www.rocketpunch.com,,,,,
사람인HR,https://www.saraminhr.co.kr,,,,,
인크루트,https://www.incruit.com,,,,,
네오위즈,http://www.neowiz.com,,,,,
조이시티,https://www.joycity.com,,,,,
컴투스,https://www.com2us.com,,,,,
펄어비스,https://www.pearlabyss.com,,,,,
웹젠,https://www.webzen.co.kr,,,,,
그라비티,http://www.gravity.co.kr,,,,,
데브시스터즈,https://www.devsisters.com,,,,,
위메이드,https://www.wemade.com,,,,,
위메이드플레이,https://www.wemadeplay.com,,,,,
카카오게임즈,https://www.kakaogames.com,,,,,
라인게임즈,https://www.line.games,,,,,
엔씨소프트,https://www.ncsoft.com,,,,,
넥슨코리아,http://company.nexon.com,,,,,
스마일게이트,https://www.smilegate.com,,,,,
NHN빅풋,,,,,,
NHN픽셀큐브,,,,,,
뤼이드,https://www.riiid.com,,,,,
업스테이지,https://www.upstage.ai,,,,,
스켈터랩스,https://www.skelterlabs.com,,,,,
마인즈랩,https://www.maum.ai,,,,,
크라우드웍스,https://www.crowdworks.kr,,,,,
딥노이드,https://www.deepnoid.com,,,,,
뷰노,https://www.vuno.co,,,,,
루닛,https://www.lunit.io,,,,,
보이저엑스,https://www.voyagerx.com,,,,,
바이브컴퍼니니,https://www.vaiv.kr,,,,,
래블업,https://www.lablup.com,,,,,
모아데이타,https://www.moadata.co.kr/,,,,,
패스트캠퍼스,https://www.fastcampus.co.kr,https://day1company.ninehire.site/job_posting,listing,text,true,
엘리스,https://www.elice.io,https://www.elice.careers/?locale=ko,listing,text,true,
코드스테이츠,https://www.codestates.com,,,,,
멋쟁이사자처럼,https://www.likelion.net,,,,,
팀스파르타,https://www.spartacodingclub.kr,,,,,
인프런(Inflearn),https://www.inflearn.com,,,,,
프로그래머스(그렙),https://www.programmers.co.kr,,,,,
스쿨42서울,https://www.42seoul.kr,,,,,
바닐라코딩,,,,,,
LG CNS,https://www.lgcns.com,,,,,
삼성SDS,https://www.samsungsds.com,,,,,
롯데이노베이트,https://www.lotteinnovate.com/ko,,,,,
신세계아이앤씨,https://www.shinsegae-inc.com,,,,,
현대오토에버,https://www.hyundai-autoever.com,,,,,
포스코아이씨티,https://www.poscoict.com,,,,,
SK C&C,https://www.skcc.com,,,,,
베스핀글로벌,https://www.bespinglobal.com,,,,,
GS네오텍,https://www.gsneotek.com,,,,,
이노그리드,https://www.innogrid.com,https://innogridhr.career.greetinghr.com/ko/recruit,listing,text,true,정형화된
오픈핸즈,https://www.openhands.co.kr,https://2e.career.greetinghr.com/ko/guide#5089e105-e7df-45e0-9802-5509c0db0b0c,listing,text,true,정형화된
인지소프트,http://inzisoft.com/,none,,,,
유라클,https://www.uracle.co.kr,https://uracle.co.kr/company/career/,external,external_link,,
플랜아이,https://www.plani.co.kr/,,,,,
투이컨설팅,https://www.2e.co.kr,,,,,
메타넷티플랫폼,https://www.metanet.co.kr,,,,,
메타넷엠플랫폼,,,,,,
더블유게임즈,http://www.doubleugames.com,https://www.doubleugames.com/careers/jobs.html,listing,image,true,
NHN에듀,http://nhnedu.com,https://careers.nhn.com/recruits,listing,text,true,위에 동일한 nhn 계열사 모집페이지
KG모빌리언스,https://www.mobilians.co.kr,,,,,
한국사이버결제,https://www.kcp.co.kr,,,,,
롯데e커머스,https://www.lotte.co.kr/business/compDetail.do?compCd=L207,,,,,
리디북스(리디),https://www.ridicorp.com,,,,,
왓박스(왓챠),https://watcha.com,,,,,
하이퍼커넥트,https://www.hpcnt.com,,,,,
비마이프렌즈,https://www.bemyfriends.com,,,,,
매스프레소(콴다),https://mathpresso.com/ko,,,,,
레이니스트(뱅크샐러드),https://www.banksalad.com,,,,,
뱅크웨어글로벌,https://www.bankwareglobal.com,,,,,
카카오엔터프라이즈,https://www.kakaoenterprise.com,,,,,
카카오브레인,,,,,,
라인플러스,https://linepluscorp.com,,,,,
네이버웹툰,https://webtoonscorp.com,,,,,
와이즈앱,https://www.wiseapp.co.kr,,,,,
비모뉴먼트(마이리얼트립),https://www.myrealtrip.com,,,,,
트리플,https://www.triple.guide,none,,,,
야나두,https://www.yanadoo.co.kr,https://yanadoocorp.recruit.roundhr.com/jobs?section=ecf353c0-f233-4a81-9d51-a01fe9041a5a,listing,text,true,
플라이북,https://www.flybook.kr,none,,,,
도도포인트,https://www.dodopoint.com,,,,,
비프로컴퍼니,https://www.bepro11.com,,,,,
하이퍼리즘,https://www.hyperithm.com,https://hyperithm.career.greetinghr.com/ko/open-positions#dbdf3d09-dcdb-4ded-99e6-eaf97cdea730,listing,text,true,정형화된
몰로코코리아,https://www.moloco.com/ko,https://www.moloco.com/ko/open-positions,listing,text,true,영어페이지
센트비,https://www.sentbe.com,none,,,,
코인플러그,https://www.coinplug.com,none,,,,
람다256,https://www.lambda256.io,,,,,
해치랩스,https://www.haechi.io,,,,,
베어로보틱스코리아,https://www.bearrobotics.ai,,,,,
마키나락스,https://www.makinarocks.ai,,,,,
비솔,https://www.visol.co.kr/index.htm,,,,,
에이럭스,https://www.aluxonline.com/,,,,,
인벤티스,https://www.inventis.co.kr,,,,,
클로버추얼패션,https://www.clo3d.com,,,,,
씨유박스,https://secern.ai/,,,,,
알체라,https://www.alchera.ai,,,,,
에이아이매틱스,https://www.aimatics.ai,,,,,
아이지에이웍스(IGAWorks),https://www.igaworks.com,,,,,
채널코퍼레이션,https://www.channel.io,,,,,
플라네타리움랩스,https://planetariumhq.com/?lang=ko,,,,,
크래프트테크놀로지스,https://www.qraftec.com,,,,,
리벨리온,https://kr.rebellions.ai/,,,,,
에이유,https://www.augold.co.kr/,,,,,
