회사명,대표이사,홈페이지,본사주소,재무현황연도
(주)두리안정보기술,정재욱,http://www.durianit.co.kr,"경기도 성남시 분당구 삼평동 판교로255번길 9-22, 6층 603호 판교우림W-CITY(삼평동)",2024
온누리테크,강성만,http://,"대전광역시 서구 월평동로 83, 상가동 2층 204호(월평동, 다모아아파트) ",2024
주식회사 오츠,봉하경,http://,"서울특별시 금천구 가산디지털1로 100, 1410호 (가산동, 에이스골드타워)",2024
디올림 주식회사,현병은,http://www.theallim.com,"서울특별시 중구 동호로17길 277, 4층 (신당동, 와이즈허브빌딩)",2024
중앙오에이시스템,"배병목,이동희",http://,"부산 부산진구 가야공원로 41(가야동, 가야반도보라빌상가 2동101호,102호)",2024
주식회사 성찬정보통신,이언순,http://,경기도 성남시 분당구 성남대로779번길 14 (이매동),2024
꽃샘도서,박기홍,http://,"부산광역시 동구 정공단로 48, 1층 꽃샘도서 (범일동)",2024
한국항공대학교산학협력단,오현웅,http://research.kau.ac.kr,"경기도 고양시 덕양구 항공대학로 76 (화전동, 한국항공대학교내) ",2025
성남건설산업(주),허남이,http://,"경기도 평택시 오성면 서동대로 2205, 4층",2024
신영테크,신미희,http://,"경상남도 창원시 성산구 완암로 50, 804호 (성산동, SK테크노파크 테크동)",2024
(주)원더온,함기석,https://www.wonderon.co.kr/,"서울특별시 성동구 성수일로 89, 10층 1002호(성수동1가, Metamorpho (지식산업센터)) ",2024
(주)에스넷,최태환,http://sneted.com,"경기도 김포시 양촌읍 황금로 117, 메카존 702호",2024
부산대학교 산학협력단,강정은,https://sanhak.pusan.ac.kr/,"부산광역시 금정구 부산대학로63번길 2(장전동, 부산대학교내)",2025
서연문고,김나은,http://,"경기도 김포시 태장로 751, 232호 (장기동, 테라비즈타워)",2024
오모션 주식회사,오문석,http://omotion.co.kr,"서울특별시 마포구 매봉산로 37, 6층 606호 (상암동, DMC 산학협력연구센터)",2024
(주)모비스,김지헌,http://mobiis.com,"경기도 성남시 분당구 판교로 253, C동 203호 (삼평동, 판교 이노밸리)",2024
주식회사 프로젝트에이,손정익,http://,"경상북도 성주군 성주읍 성주읍3길 14-5, 2층",2024
