"id","name","name_norm","homepage_url","homepage_host","homepage_url_status","homepage_checked_at","homepage_last_status_code","homepage_fail_count","recruits_url","page_type","post_type","hiring","recruits_url_status","recruits_url_score","external_job_site","ceo_name","bizr_no","stock_code","dart_corp_code","dart_modify_date","est_dt","acc_mt","swdb_fin_year","industry","address","region","source_meta","created_at","updated_at"
"1","앤비전","앤비전","https://www.envision.co.kr/ko/main.asp","envision.co.kr","alive","","200","0","https://www.envision.co.kr/ko/envision/recruit.asp","listing","text","False","","","","조지현","","","","","","","2024","","강원특별자치도 강릉시 과학단지로 106-77 (대전동)","강원","","2026-04-02T11:29:10.239833","2026-04-02T11:29:10.239852"
"2","정보와기술(주)","정보와기술","http://www.lgit.co.kr/","lgit.co.kr","alive","","200","0","http://www.lgit.co.kr/page/page4_1.php","listing","image","False","","","","이충근","","","","","","","2024","","서울특별시 금천구 디지털로9길 68, 1806 1807 1808 1809 1810호 (가산동,대륭포스트5차)","서울특별시","","2026-04-02T11:29:10.244390","2026-04-02T11:29:10.244403"
"3","이노시스아이티","이노시스아이티","http://www.innosysit.co.kr/","innosysit.co.kr","alive","","200","0","http://www.innosysit.co.kr/homepage/index.html","main","text","False","","","","김한수","","","","","","","2024","","서울특별시 영등포구 여의대방로65길 17 (여의도동, 서린빌딩 411호~412호)","서울특별시","","2026-04-02T11:29:10.248926","2026-04-02T11:29:10.248948"
"4","이노솔루텍","이노솔루텍","http://www.innost.co.kr/","innost.co.kr","alive","","200","0","http://www.innost.co.kr/kor/careers/menu_01.html","listing","text","False","","","","김영일","","","","","","","2024","","대전광역시 유성구 원신흥로 122-11, 3층(원신흥동, 명경프라자II)","대전광역시","","2026-04-02T11:29:10.253280","2026-04-02T11:29:10.253293"
"5","(주)오션정보기술","오션정보기술","http://ocean-it.co.kr/index.html","ocean-it.co.kr","alive","","200","0","http://ocean-it.co.kr/index.html","external","external_link","False","","","","박은영","","","","","","","2024","","인천광역시 연수구 송도과학로 56, 504호(송도동, 송도테크노파크비티센타)","인천","","2026-04-02T11:29:10.257578","2026-04-02T11:29:10.257590"
"6","뉴로센스","뉴로센스","http://www.neurosense.co.kr","neurosense.co.kr","alive","","200","0","http://www.neurosense.co.kr/kor/recruitement/index.html","listing","text","False","","","","","","","","","","","","","","","","2026-04-02T11:29:10.264954","2026-04-02T11:29:10.264969"
"7","아라드네트웍스","아라드네트웍스","https://www.aradnetworks.com/?lang=","aradnetworks.com","alive","","200","0","https://www.aradnetworks.com/sub/sub0105.php","listing","text","False","","","","","","","","","","","","","","","","2026-04-02T11:29:10.269315","2026-04-02T11:29:10.269328"
"8","소올아이티","소올아이티","http://soarit.net/index.php","soarit.net","alive","","200","0","http://soarit.net/sub/sub04_01.php","listing","text","False","","","","허성일","","","","","","","2024","","서울특별시 금천구 가산디지털1로 16, 5층 519호(가산동, 에이피타워)","서울특별시","","2026-04-02T11:29:10.273555","2026-04-02T11:29:10.273566"
"9","진네트웍스","진네트웍스","http://jinnetworks.com/","jinnetworks.com","alive","","200","0","https://jinnetworks.com/about-jin-3/","listing","text","False","","","","이호진","","","","","","","2024","","서울특별시 금천구 가산디지털2로 123, 910호 (가산동, 월드메르디앙2차)","서울특별시","","2026-04-02T11:29:10.277644","2026-04-02T11:29:10.277655"
"10","버츄얼드림","버츄얼드림","http://www.virtualdream.co.kr/index.do","virtualdream.co.kr","alive","","200","0","http://www.virtualdream.co.kr/vd.do?menu_id=0501000000","listing","text","False","","","","나성인","","","","","","","2024","","서울특별시 금천구 가산디지털2로 165, 11층 1104호(가산동, 백상스타타워2차)","서울특별시","","2026-04-02T11:29:10.281751","2026-04-02T11:29:10.281764"
